Time unix,X-axis,Y-axis,Z-axis
1717097593.6313133,101362.38666666667,108352.85333333335,-70778.57333333333
1717097593.6676166,96119.50666666667,110100.48000000001,-83011.96
1717097593.723521,96119.50666666667,-108352.85333333335,-72526.20000000001
1717097593.77948,100488.57333333333,99614.72,-68157.13333333333
1717097593.8353848,96119.50666666667,109226.66666666667,-68157.13333333333
1717097593.891282,100488.57333333333,97867.09333333334,-67283.32
1717097593.9471905,102236.20000000001,-111848.10666666667,-69904.76000000001
1717097594.0030622,92624.25333333334,-111848.10666666667,-68157.13333333333
1717097594.0589736,101362.38666666667,110974.29333333333,-71652.38666666667
1717097594.1148393,101362.38666666667,103983.78666666667,-69030.94666666667
1717097594.1707902,96119.50666666667,103109.97333333334,-70778.57333333333
1717097594.226665,94371.88,-111848.10666666667,-67283.32
1717097594.2826736,95245.69333333334,102236.16,-86507.21333333333
1717097594.3383946,90876.62666666668,105731.41333333334,-79516.70666666667
1717097594.3942568,103110.01333333334,-110974.29333333333,-64661.880000000005
1717097594.4501033,95245.69333333334,99614.72,-65535.693333333336
1717097594.5060706,110100.52,103983.78666666667,-74273.82666666668
1717097594.5619142,101362.38666666667,107479.04000000001,-76895.26666666668
1717097594.6177807,96119.50666666667,103109.97333333334,-71652.38666666667
1717097594.6736662,98740.94666666667,100488.53333333334,-71652.38666666667
1717097594.7296054,94371.88,-110974.29333333333,-73400.01333333334
1717097594.78552,98740.94666666667,99614.72,-74273.82666666668
1717097594.8413515,103983.82666666668,103109.97333333334,-71652.38666666667
1717097594.8972442,102236.20000000001,110974.29333333333,-64661.880000000005
1717097594.9531276,96993.32,96119.46666666667,-68157.13333333333
1717097595.0089824,99614.76000000001,106605.22666666667,-69904.76000000001
1717097595.064903,101362.38666666667,-111848.10666666667,-69030.94666666667
1717097595.120771,92624.25333333334,105731.41333333334,-70778.57333333333
1717097595.1766524,96993.32,105731.41333333334,-58545.18666666667
1717097595.232437,99614.76000000001,104857.6,-65535.693333333336
1717097595.288388,101362.38666666667,99614.72,-69904.76000000001
1717097595.3441863,96993.32,105731.41333333334,-69904.76000000001
1717097595.4010034,96993.32,102236.16,-70778.57333333333
1717097595.4559932,92624.25333333334,109226.66666666667,-59419.00000000001
1717097595.511942,105731.45333333334,108352.85333333335,-76021.45333333334
1717097595.567724,96119.50666666667,-108352.85333333335,-76895.26666666668
1717097595.623557,95245.69333333334,103109.97333333334,-69030.94666666667
1717097595.6794379,100488.57333333333,98740.90666666668,-71652.38666666667
1717097595.73531,93498.06666666667,101362.34666666668,-72526.20000000001
1717097595.7911565,91750.44,99614.72,-68157.13333333333
1717097595.8470218,100488.57333333333,100488.53333333334,-69030.94666666667
1717097595.9028833,103983.82666666668,106605.22666666667,-65535.693333333336
1717097595.9588583,87381.37333333334,-111848.10666666667,-68157.13333333333
1717097596.0158863,93498.06666666667,109226.66666666667,-69904.76000000001
1717097596.0705228,96119.50666666667,-109226.66666666667,-66409.50666666667
1717097596.1264002,93498.06666666667,97867.09333333334,-69030.94666666667
1717097596.1823273,98740.94666666667,103983.78666666667,-67283.32
1717097596.2382114,100488.57333333333,103983.78666666667,-69030.94666666667
1717097596.2940946,98740.94666666667,-111848.10666666667,-61166.62666666667
1717097596.350019,103983.82666666668,92624.21333333333,-73400.01333333334
1717097596.4058948,93498.06666666667,103109.97333333334,-73400.01333333334
1717097596.4617906,102236.20000000001,-110100.48000000001,-60292.81333333334
1717097596.5176823,90002.81333333334,101362.34666666668,-71652.38666666667
1717097596.5735517,101362.38666666667,93498.02666666667,-76895.26666666668
1717097596.6294794,105731.45333333334,106605.22666666667,-69904.76000000001
1717097596.6853542,103983.82666666668,104857.6,-62040.44
1717097596.7412665,99614.76000000001,97867.09333333334,-59419.00000000001
1717097596.7971497,95245.69333333334,96119.46666666667,-60292.81333333334
1717097596.8530476,101362.38666666667,107479.04000000001,-60292.81333333334
1717097596.9088993,102236.20000000001,102236.16,-75147.64
1717097596.9647727,96993.32,100488.53333333334,-74273.82666666668
1717097597.0206554,92624.25333333334,99614.72,-78642.89333333334
1717097597.0765615,98740.94666666667,110100.48000000001,-69904.76000000001
1717097597.1324632,-111848.06666666668,108352.85333333335,-67283.32
1717097597.1909187,108352.89333333334,-111848.10666666667,-73400.01333333334
1717097597.2442524,105731.45333333334,104857.6,-74273.82666666668
1717097597.3000789,106605.26666666668,-101362.34666666668,-76895.26666666668
1717097597.3559215,102236.20000000001,100488.53333333334,-69030.94666666667
1717097597.4118624,98740.94666666667,100488.53333333334,-65535.693333333336
1717097597.467777,99614.76000000001,106605.22666666667,-65535.693333333336
1717097597.5238323,99614.76000000001,105731.41333333334,-58545.18666666667
1717097597.5794637,83886.12000000001,-107479.04000000001,-73400.01333333334
1717097597.6353238,100488.57333333333,106605.22666666667,-69030.94666666667
1717097597.6912754,89129.0,109226.66666666667,-66409.50666666667
1717097597.747489,96119.50666666667,105731.41333333334,-69904.76000000001
1717097597.8029408,96119.50666666667,110974.29333333333,-59419.00000000001
1717097597.8588307,96119.50666666667,101362.34666666668,-70778.57333333333
1717097597.914712,95245.69333333334,-108352.85333333335,-75147.64
1717097597.9706237,92624.25333333334,105731.41333333334,-69030.94666666667
