Time unix,X-axis,Y-axis,Z-axis
1717097600.7441096,103983.82666666668,103983.78666666667,-81264.33333333334
1717097600.75511,85633.74666666667,103983.78666666667,-81264.33333333334
1717097600.7659054,85633.74666666667,103983.78666666667,-57671.37333333334
1717097600.7765665,98740.94666666667,101362.34666666668,-66409.50666666667
1717097600.7873764,97867.13333333335,103983.78666666667,-76895.26666666668
1717097600.7981598,95245.69333333334,103983.78666666667,-69030.94666666667
1717097600.8087616,99614.76000000001,103983.78666666667,-66409.50666666667
1717097600.8211725,90002.81333333334,102236.16,-70778.57333333333
1717097600.8349524,97867.13333333335,103983.78666666667,-75147.64
1717097600.8489504,96993.32,106605.22666666667,-69030.94666666667
1717097600.86291,98740.94666666667,-110974.29333333333,-74273.82666666668
1717097600.8769438,96993.32,100488.53333333334,-70778.57333333333
1717097600.8910446,103110.01333333334,103983.78666666667,-73400.01333333334
1717097600.904674,105731.45333333334,105731.41333333334,-69030.94666666667
1717097600.9186256,106605.26666666668,103983.78666666667,-70778.57333333333
1717097600.9328659,105731.45333333334,-110974.29333333333,-68157.13333333333
1717097600.9547987,92624.25333333334,109226.66666666667,-68157.13333333333
1717097600.9655778,107479.08,104857.6,-78642.89333333334
1717097600.9762425,101362.38666666667,-110100.48000000001,-69030.94666666667
1717097600.9884338,104857.64000000001,-106605.22666666667,-71652.38666666667
1717097601.002353,95245.69333333334,110974.29333333333,-69030.94666666667
1717097601.0162776,93498.06666666667,99614.72,-64661.880000000005
1717097601.0303192,99614.76000000001,102236.16,-76021.45333333334
1717097601.0442362,103983.82666666668,103983.78666666667,-57671.37333333334
1717097601.0581057,97867.13333333335,107479.04000000001,-68157.13333333333
1717097601.0720615,90002.81333333334,105731.41333333334,-79516.70666666667
1717097601.086065,97867.13333333335,108352.85333333335,-64661.880000000005
1717097601.1000736,93498.06666666667,96993.28000000001,-68157.13333333333
1717097601.1140018,98740.94666666667,106605.22666666667,-60292.81333333334
1717097601.1278775,96993.32,106605.22666666667,-73400.01333333334
1717097601.1421711,103110.01333333334,94371.84000000001,-63788.06666666667
1717097601.1557775,98740.94666666667,101362.34666666668,-76021.45333333334
1717097601.169723,103983.82666666668,110100.48000000001,-69904.76000000001
1717097601.1837523,90002.81333333334,108352.85333333335,-71652.38666666667
1717097601.197626,104857.64000000001,-107479.04000000001,-72526.20000000001
1717097601.2115824,95245.69333333334,107479.04000000001,-69030.94666666667
1717097601.225502,96993.32,110974.29333333333,-60292.81333333334
1717097601.2395515,92624.25333333334,104857.6,-71652.38666666667
1717097601.253466,93498.06666666667,105731.41333333334,-75147.64
1717097601.2673855,103110.01333333334,110100.48000000001,-68157.13333333333
1717097601.281347,96119.50666666667,110974.29333333333,-69904.76000000001
1717097601.295406,96993.32,94371.84000000001,-73400.01333333334
1717097601.3092663,99614.76000000001,105731.41333333334,-67283.32
1717097601.3231976,100488.57333333333,96119.46666666667,-76021.45333333334
1717097601.337288,96993.32,108352.85333333335,-67283.32
1717097601.351203,96993.32,110100.48000000001,-78642.89333333334
1717097601.3659503,100488.57333333333,108352.85333333335,-79516.70666666667
1717097601.3798935,103110.01333333334,105731.41333333334,-67283.32
1717097601.393949,103983.82666666668,106605.22666666667,-57671.37333333334
1717097601.4078588,98740.94666666667,110974.29333333333,-70778.57333333333
1717097601.4218197,103110.01333333334,100488.53333333334,-70778.57333333333
1717097601.435899,95245.69333333334,101362.34666666668,-75147.64
1717097601.449731,100488.57333333333,110100.48000000001,-70778.57333333333
1717097601.4637086,98740.94666666667,102236.16,-77769.08
1717097601.477591,104857.64000000001,102236.16,-65535.693333333336
1717097601.4915257,94371.88,106605.22666666667,-62914.253333333334
1717097601.5054848,96993.32,-108352.85333333335,-69030.94666666667
1717097601.5194638,105731.45333333334,107479.04000000001,-63788.06666666667
1717097601.5334318,101362.38666666667,103109.97333333334,-67283.32
1717097601.5474176,103983.82666666668,102236.16,-73400.01333333334
1717097601.5613344,106605.26666666668,-106605.22666666667,-72526.20000000001
1717097601.5752707,99614.76000000001,104857.6,-74273.82666666668
1717097601.5892797,98740.94666666667,97867.09333333334,-67283.32
1717097601.6032279,107479.08,-104857.6,-61166.62666666667
1717097601.6172626,96119.50666666667,-111848.10666666667,-75147.64
1717097601.63115,96119.50666666667,105731.41333333334,-70778.57333333333
1717097601.6454434,99614.76000000001,103983.78666666667,-79516.70666666667
1717097601.6590133,99614.76000000001,95245.65333333334,-71652.38666666667
1717097601.6729789,104857.64000000001,104857.6,-63788.06666666667
1717097601.6869154,96993.32,106605.22666666667,-71652.38666666667
1717097601.7009506,100488.57333333333,101362.34666666668,-74273.82666666668
1717097601.715835,93498.06666666667,110974.29333333333,-56797.560000000005
1717097601.729842,96119.50666666667,103109.97333333334,-62914.253333333334
1717097601.742781,96119.50666666667,103983.78666666667,-65535.693333333336
1717097601.7567513,97867.13333333335,103983.78666666667,-76021.45333333334
1717097601.7706337,98740.94666666667,100488.53333333334,-73400.01333333334
1717097601.784607,94371.88,108352.85333333335,-73400.01333333334
1717097601.7986057,101362.38666666667,110100.48000000001,-61166.62666666667
1717097601.8125734,93498.06666666667,103983.78666666667,-62914.253333333334
1717097601.8265033,96993.32,103983.78666666667,-73400.01333333334
1717097601.840442,98740.94666666667,109226.66666666667,-60292.81333333334
1717097601.8554597,97867.13333333335,104857.6,-72526.20000000001
1717097601.8683298,100488.57333333333,105731.41333333334,-62914.253333333334
1717097601.8822594,92624.25333333334,110974.29333333333,-68157.13333333333
1717097601.8962562,100488.57333333333,110974.29333333333,-75147.64
1717097601.9102552,89129.0,-109226.66666666667,-78642.89333333334
1717097601.9241905,110100.52,103983.78666666667,-65535.693333333336
1717097601.9380693,105731.45333333334,99614.72,-63788.06666666667
1717097601.9520833,99614.76000000001,95245.65333333334,-67283.32
1717097601.9659944,100488.57333333333,108352.85333333335,-66409.50666666667
1717097601.9799247,94371.88,104857.6,-75147.64
1717097601.9938734,95245.69333333334,104857.6,-78642.89333333334
1717097602.014435,95245.69333333334,99614.72,-65535.693333333336
1717097602.0283217,103983.82666666668,-105731.41333333334,-66409.50666666667
1717097602.0422635,90002.81333333334,102236.16,-71652.38666666667
1717097602.056299,96119.50666666667,100488.53333333334,-75147.64
1717097602.0702481,95245.69333333334,100488.53333333334,-65535.693333333336
1717097602.0841181,102236.20000000001,-103109.97333333334,-71652.38666666667
1717097602.09812,93498.06666666667,107479.04000000001,-76895.26666666668
1717097602.1121323,101362.38666666667,-111848.10666666667,-81264.33333333334
1717097602.1260126,101362.38666666667,103109.97333333334,-64661.880000000005
1717097602.1399689,95245.69333333334,104857.6,-63788.06666666667
1717097602.1539073,96119.50666666667,110974.29333333333,-71652.38666666667
1717097602.1679688,93498.06666666667,96993.28000000001,-69904.76000000001
1717097602.181851,96119.50666666667,110100.48000000001,-65535.693333333336
1717097602.1957958,109226.70666666668,-110974.29333333333,-68157.13333333333
1717097602.2098277,105731.45333333334,103983.78666666667,-73400.01333333334
1717097602.2237244,98740.94666666667,102236.16,-71652.38666666667
1717097602.2376988,110974.33333333334,106605.22666666667,-60292.81333333334
1717097602.251674,98740.94666666667,-110974.29333333333,-64661.880000000005
1717097602.2656682,100488.57333333333,-110974.29333333333,-69030.94666666667
1717097602.2795925,98740.94666666667,96993.28000000001,-75147.64
1717097602.293538,97867.13333333335,105731.41333333334,-76021.45333333334
1717097602.307559,98740.94666666667,107479.04000000001,-70778.57333333333
1717097602.32153,105731.45333333334,-105731.41333333334,-65535.693333333336
1717097602.3353875,91750.44,100488.53333333334,-64661.880000000005
1717097602.3493643,100488.57333333333,-111848.10666666667,-69904.76000000001
1717097602.363344,109226.70666666668,103109.97333333334,-60292.81333333334
1717097602.377319,90002.81333333334,106605.22666666667,-72526.20000000001
1717097602.391202,96993.32,-110974.29333333333,-63788.06666666667
1717097602.4051962,100488.57333333333,103109.97333333334,-73400.01333333334
1717097602.419184,98740.94666666667,96993.28000000001,-64661.880000000005
1717097602.4330418,96119.50666666667,109226.66666666667,-67283.32
1717097602.4470408,95245.69333333334,-110974.29333333333,-63788.06666666667
1717097602.4621887,100488.57333333333,108352.85333333335,-72526.20000000001
1717097602.4749146,99614.76000000001,-110100.48000000001,-69030.94666666667
1717097602.4888725,98740.94666666667,104857.6,-74273.82666666668
1717097602.5028305,99614.76000000001,104857.6,-75147.64
1717097602.5168674,95245.69333333334,104857.6,-67283.32
