Time unix,X-axis,Y-axis,Z-axis
1717097568.6187057,0.04,100488.53333333334,-62040.44
1717097568.6381803,101362.38666666667,104857.6,-63788.06666666667
1717097568.6660874,96119.50666666667,103983.78666666667,-69904.76000000001
1717097568.6940477,100488.57333333333,110100.48000000001,-63788.06666666667
1717097568.7220175,103110.01333333334,108352.85333333335,-67283.32
1717097568.749903,97867.13333333335,100488.53333333334,-69904.76000000001
1717097568.7778988,105731.45333333334,110974.29333333333,-85633.40000000001
1717097568.8057792,104857.64000000001,-111848.10666666667,-68157.13333333333
1717097568.8337643,101362.38666666667,107479.04000000001,-67283.32
1717097568.8616533,93498.06666666667,110100.48000000001,-75147.64
1717097568.8895252,103983.82666666668,110974.29333333333,-65535.693333333336
1717097568.9174333,91750.44,99614.72,-69904.76000000001
1717097568.945349,93498.06666666667,105731.41333333334,-66409.50666666667
1717097568.97326,102236.20000000001,104857.6,-73400.01333333334
1717097569.0011964,102236.20000000001,110100.48000000001,-69904.76000000001
1717097569.0291245,93498.06666666667,110100.48000000001,-83011.96
1717097569.057028,94371.88,102236.16,-69904.76000000001
1717097569.084956,99614.76000000001,110100.48000000001,-69904.76000000001
1717097569.1129427,96119.50666666667,-111848.10666666667,-76895.26666666668
1717097569.140808,95245.69333333334,103983.78666666667,-63788.06666666667
1717097569.1687243,99614.76000000001,102236.16,-64661.880000000005
1717097569.196633,98740.94666666667,104857.6,-70778.57333333333
1717097569.224667,103110.01333333334,105731.41333333334,-67283.32
1717097569.2525694,99614.76000000001,96993.28000000001,-68157.13333333333
1717097569.280461,100488.57333333333,103983.78666666667,-67283.32
1717097569.3084018,96119.50666666667,109226.66666666667,-65535.693333333336
1717097569.336417,96119.50666666667,-109226.66666666667,-72526.20000000001
1717097569.3642478,94371.88,103109.97333333334,-67283.32
1717097569.392241,97867.13333333335,106605.22666666667,-67283.32
1717097569.4201107,96119.50666666667,103983.78666666667,-74273.82666666668
1717097569.4481118,103110.01333333334,94371.84000000001,-70778.57333333333
1717097569.4759624,104857.64000000001,106605.22666666667,-67283.32
1717097569.503929,93498.06666666667,102236.16,-67283.32
1717097569.5333884,93498.06666666667,95245.65333333334,-69030.94666666667
1717097569.5597878,96993.32,107479.04000000001,-72526.20000000001
1717097569.5876915,-111848.06666666668,102236.16,-68157.13333333333
1717097569.6156044,92624.25333333334,103109.97333333334,-60292.81333333334
1717097569.6435635,99614.76000000001,105731.41333333334,-74273.82666666668
1717097569.6714914,85633.74666666667,108352.85333333335,-58545.18666666667
1717097569.6994169,109226.70666666668,109226.66666666667,-70778.57333333333
1717097569.7274308,100488.57333333333,103109.97333333334,-69904.76000000001
1717097569.75531,94371.88,109226.66666666667,-69030.94666666667
1717097569.783244,106605.26666666668,106605.22666666667,-74273.82666666668
1717097569.811248,102236.20000000001,-109226.66666666667,-67283.32
1717097569.839116,103983.82666666668,99614.72,-71652.38666666667
1717097569.8670805,101362.38666666667,104857.6,-67283.32
1717097569.8949475,108352.89333333334,102236.16,-78642.89333333334
1717097569.922858,100488.57333333333,-108352.85333333335,-74273.82666666668
1717097569.9507966,99614.76000000001,101362.34666666668,-71652.38666666667
1717097569.9786942,96119.50666666667,102236.16,-79516.70666666667
1717097570.0065975,103110.01333333334,-111848.10666666667,-70778.57333333333
1717097570.0345433,99614.76000000001,108352.85333333335,-69904.76000000001
1717097570.0624444,101362.38666666667,107479.04000000001,-59419.00000000001
1717097570.0903335,103110.01333333334,98740.90666666668,-63788.06666666667
1717097570.118242,98740.94666666667,106605.22666666667,-72526.20000000001
1717097570.1461647,98740.94666666667,106605.22666666667,-68157.13333333333
1717097570.1740925,97867.13333333335,93498.02666666667,-72526.20000000001
1717097570.202001,96119.50666666667,108352.85333333335,-70778.57333333333
1717097570.2299955,98740.94666666667,96993.28000000001,-67283.32
1717097570.2578566,101362.38666666667,108352.85333333335,-73400.01333333334
1717097570.2857773,95245.69333333334,106605.22666666667,-74273.82666666668
1717097570.3137026,93498.06666666667,106605.22666666667,-62914.253333333334
1717097570.3416193,96993.32,-110100.48000000001,-60292.81333333334
1717097570.369614,100488.57333333333,-111848.10666666667,-59419.00000000001
1717097570.3975158,107479.08,105731.41333333334,-69904.76000000001
1717097570.4254491,104857.64000000001,104857.6,-67283.32
1717097570.4534361,100488.57333333333,104857.6,-64661.880000000005
1717097570.4814272,97867.13333333335,-111848.10666666667,-69904.76000000001
1717097570.5092638,100488.57333333333,110100.48000000001,-74273.82666666668
1717097570.5372105,103110.01333333334,94371.84000000001,-70778.57333333333
1717097570.565074,96119.50666666667,103983.78666666667,-62914.253333333334
1717097570.5930033,99614.76000000001,101362.34666666668,-67283.32
1717097570.620944,105731.45333333334,102236.16,-61166.62666666667
1717097570.648854,90002.81333333334,109226.66666666667,-72526.20000000001
1717097570.6767814,98740.94666666667,103983.78666666667,-67283.32
1717097570.7046878,101362.38666666667,103109.97333333334,-69904.76000000001
1717097570.732712,98740.94666666667,96119.46666666667,-64661.880000000005
1717097570.7605393,98740.94666666667,105731.41333333334,-60292.81333333334
1717097570.7884622,91750.44,102236.16,-71652.38666666667
1717097570.8163748,97867.13333333335,103109.97333333334,-63788.06666666667
1717097570.8443305,100488.57333333333,-109226.66666666667,-68157.13333333333
1717097570.8722315,100488.57333333333,103109.97333333334,-76895.26666666668
1717097570.9001625,106605.26666666668,103109.97333333334,-62914.253333333334
1717097570.9280765,100488.57333333333,103983.78666666667,-69904.76000000001
1717097570.9560313,104857.64000000001,102236.16,-66409.50666666667
1717097570.9839945,100488.57333333333,106605.22666666667,-68157.13333333333
1717097571.011892,92624.25333333334,-105731.41333333334,-67283.32
1717097571.0398166,97867.13333333335,105731.41333333334,-76021.45333333334
1717097571.0676987,98740.94666666667,104857.6,-69904.76000000001
1717097571.0956094,103983.82666666668,102236.16,-65535.693333333336
1717097571.1235378,97867.13333333335,107479.04000000001,-65535.693333333336
1717097571.1514647,103983.82666666668,106605.22666666667,-78642.89333333334
1717097571.17942,100488.57333333333,100488.53333333334,-69904.76000000001
1717097571.2072985,108352.89333333334,-110100.48000000001,-75147.64
1717097571.2353003,95245.69333333334,106605.22666666667,-74273.82666666668
1717097571.2631338,89129.0,-110974.29333333333,-76895.26666666668
1717097571.291151,95245.69333333334,103109.97333333334,-73400.01333333334
1717097571.3189971,100488.57333333333,103109.97333333334,-66409.50666666667
1717097571.3469474,109226.70666666668,106605.22666666667,-65535.693333333336
1717097571.37485,96119.50666666667,110974.29333333333,-69030.94666666667
1717097571.4028232,94371.88,107479.04000000001,-76021.45333333334
1717097571.4307225,102236.20000000001,102236.16,-65535.693333333336
1717097571.458728,97867.13333333335,103109.97333333334,-69030.94666666667
