Time unix,X-axis,Y-axis,Z-axis
1717097603.319175,97867.13333333335,106605.22666666667,-74273.82666666668
1717097603.3301673,92624.25333333334,106605.22666666667,-74273.82666666668
1717097603.3410478,92624.25333333334,107479.04000000001,-71652.38666666667
1717097603.368048,103983.82666666668,-111848.10666666667,-69904.76000000001
1717097603.3959467,97867.13333333335,104857.6,-63788.06666666667
1717097603.4238622,103983.82666666668,99614.72,-67283.32
1717097603.4518507,101362.38666666667,-110974.29333333333,-66409.50666666667
1717097603.4796987,94371.88,110974.29333333333,-74273.82666666668
1717097603.5076199,101362.38666666667,100488.53333333334,-66409.50666666667
1717097603.5359154,96993.32,97867.09333333334,-61166.62666666667
1717097603.5634441,103983.82666666668,-110100.48000000001,-64661.880000000005
1717097603.5914354,102236.20000000001,108352.85333333335,-66409.50666666667
1717097603.6192822,98740.94666666667,101362.34666666668,-70778.57333333333
1717097603.6472034,92624.25333333334,103109.97333333334,-65535.693333333336
1717097603.6751359,105731.45333333334,107479.04000000001,-73400.01333333334
1717097603.7030756,97867.13333333335,103983.78666666667,-68157.13333333333
1717097603.730965,95245.69333333334,101362.34666666668,-63788.06666666667
1717097603.7589366,98740.94666666667,100488.53333333334,-77769.08
1717097603.7869656,98740.94666666667,107479.04000000001,-62914.253333333334
1717097603.8147912,104857.64000000001,104857.6,-72526.20000000001
1717097603.8427577,99614.76000000001,110100.48000000001,-61166.62666666667
1717097603.8705654,104857.64000000001,107479.04000000001,-61166.62666666667
1717097603.898474,96119.50666666667,101362.34666666668,-75147.64
1717097603.9263752,102236.20000000001,105731.41333333334,-65535.693333333336
1717097603.954375,104857.64000000001,96993.28000000001,-71652.38666666667
1717097603.982238,97867.13333333335,-110974.29333333333,-69030.94666666667
1717097604.0102005,97867.13333333335,109226.66666666667,-73400.01333333334
1717097604.038082,97867.13333333335,104857.6,-78642.89333333334
1717097604.0660603,94371.88,107479.04000000001,-65535.693333333336
1717097604.0940037,92624.25333333334,101362.34666666668,-67283.32
1717097604.1220968,93498.06666666667,109226.66666666667,-69904.76000000001
1717097604.149895,96119.50666666667,-107479.04000000001,-63788.06666666667
1717097604.1778026,96119.50666666667,107479.04000000001,-74273.82666666668
1717097604.2057507,93498.06666666667,90002.77333333335,-69904.76000000001
1717097604.2336617,96993.32,-111848.10666666667,-67283.32
1717097604.2617009,105731.45333333334,105731.41333333334,-68157.13333333333
1717097604.2896047,97867.13333333335,96119.46666666667,-64661.880000000005
1717097604.3175147,103110.01333333334,103983.78666666667,-71652.38666666667
1717097604.345417,101362.38666666667,104857.6,-73400.01333333334
1717097604.373401,103983.82666666668,104857.6,-71652.38666666667
1717097604.4012725,94371.88,-103983.78666666667,-79516.70666666667
1717097604.429241,94371.88,105731.41333333334,-64661.880000000005
1717097604.4572325,103110.01333333334,101362.34666666668,-72526.20000000001
1717097604.4851089,99614.76000000001,103983.78666666667,-67283.32
1717097604.5129974,96119.50666666667,110100.48000000001,-72526.20000000001
1717097604.5409377,105731.45333333334,104857.6,-63788.06666666667
1717097604.5688982,98740.94666666667,107479.04000000001,-77769.08
1717097604.598279,98740.94666666667,-110100.48000000001,-76021.45333333334
1717097604.6247637,105731.45333333334,106605.22666666667,-62914.253333333334
1717097604.6526203,102236.20000000001,108352.85333333335,-63788.06666666667
1717097604.6806443,97867.13333333335,107479.04000000001,-68157.13333333333
1717097604.7084682,103983.82666666668,106605.22666666667,-74273.82666666668
1717097604.736509,94371.88,-110974.29333333333,-78642.89333333334
1717097604.7643785,97867.13333333335,-106605.22666666667,-68157.13333333333
1717097604.7924044,97867.13333333335,104857.6,-64661.880000000005
1717097604.8202808,109226.70666666668,102236.16,-75147.64
1717097604.8482893,90002.81333333334,-110974.29333333333,-65535.693333333336
1717097604.8764224,103983.82666666668,-108352.85333333335,-79516.70666666667
1717097604.9047608,99614.76000000001,96119.46666666667,-69904.76000000001
1717097604.9321156,101362.38666666667,-108352.85333333335,-66409.50666666667
1717097604.9599879,99614.76000000001,107479.04000000001,-70778.57333333333
1717097604.9879196,90876.62666666668,99614.72,-67283.32
1717097605.015848,100488.57333333333,107479.04000000001,-67283.32
1717097605.0438666,102236.20000000001,-111848.10666666667,-73400.01333333334
1717097605.0718768,94371.88,104857.6,-71652.38666666667
1717097605.099776,90876.62666666668,96119.46666666667,-87381.02666666667
1717097605.1277223,93498.06666666667,97867.09333333334,-75147.64
1717097605.1556408,91750.44,110100.48000000001,-73400.01333333334
1717097605.1835432,92624.25333333334,105731.41333333334,-69030.94666666667
1717097605.211412,105731.45333333334,-105731.41333333334,-69904.76000000001
1717097605.2393687,103110.01333333334,103983.78666666667,-61166.62666666667
1717097605.267199,96119.50666666667,100488.53333333334,-66409.50666666667
1717097605.2951896,97867.13333333335,104857.6,-74273.82666666668
1717097605.3231206,110100.52,102236.16,-76021.45333333334
1717097605.351093,102236.20000000001,99614.72,-59419.00000000001
1717097605.379005,93498.06666666667,103109.97333333334,-68157.13333333333
1717097605.4069612,98740.94666666667,-111848.10666666667,-59419.00000000001
1717097605.4348867,98740.94666666667,98740.90666666668,-67283.32
1717097605.4627774,105731.45333333334,110100.48000000001,-78642.89333333334
1717097605.4906955,103983.82666666668,96119.46666666667,-76021.45333333334
