Time unix,X-axis,Y-axis,Z-axis
1717097606.433453,99614.76000000001,103109.97333333334,-71652.38666666667
1717097606.4451108,101362.38666666667,108352.85333333335,-83011.96
1717097606.4681804,100488.57333333333,-110974.29333333333,-60292.81333333334
1717097606.4960392,92624.25333333334,100488.53333333334,-75147.64
1717097606.524119,99614.76000000001,103983.78666666667,-75147.64
1717097606.551871,90876.62666666668,-110100.48000000001,-61166.62666666667
1717097606.5798128,94371.88,97867.09333333334,-75147.64
1717097606.6076276,97867.13333333335,105731.41333333334,-74273.82666666668
1717097606.6356168,92624.25333333334,-105731.41333333334,-61166.62666666667
1717097606.6647327,102236.20000000001,-110100.48000000001,-69904.76000000001
1717097606.691442,96993.32,104857.6,-69904.76000000001
1717097606.7193754,96119.50666666667,102236.16,-71652.38666666667
1717097606.7473187,90002.81333333334,-107479.04000000001,-79516.70666666667
1717097606.7753527,96993.32,98740.90666666668,-73400.01333333334
1717097606.8032513,94371.88,105731.41333333334,-70778.57333333333
1717097606.8311803,99614.76000000001,106605.22666666667,-68157.13333333333
1717097606.8589363,89129.0,109226.66666666667,-57671.37333333334
1717097606.8869593,98740.94666666667,110974.29333333333,-77769.08
1717097606.9147933,93498.06666666667,-110974.29333333333,-67283.32
1717097606.9427505,103110.01333333334,102236.16,-68157.13333333333
1717097606.9706492,110100.52,107479.04000000001,-74273.82666666668
1717097606.9985893,88255.18666666668,108352.85333333335,-62040.44
1717097607.0265727,91750.44,105731.41333333334,-75147.64
1717097607.0544596,107479.08,103109.97333333334,-69904.76000000001
1717097607.0824213,89129.0,-108352.85333333335,-76021.45333333334
1717097607.1103134,104857.64000000001,104857.6,-68157.13333333333
1717097607.1381905,101362.38666666667,88255.14666666667,-68157.13333333333
1717097607.1660967,96993.32,101362.34666666668,-60292.81333333334
1717097607.1940885,102236.20000000001,-107479.04000000001,-74273.82666666668
1717097607.2220423,101362.38666666667,-110100.48000000001,-73400.01333333334
1717097607.2499173,94371.88,109226.66666666667,-66409.50666666667
1717097607.2779162,97867.13333333335,103983.78666666667,-69904.76000000001
1717097607.3057752,99614.76000000001,110100.48000000001,-74273.82666666668
1717097607.333762,97867.13333333335,-109226.66666666667,-82138.14666666667
1717097607.3616292,96119.50666666667,103109.97333333334,-62040.44
1717097607.3895733,103110.01333333334,104857.6,-64661.880000000005
1717097607.4174278,96119.50666666667,-111848.10666666667,-67283.32
1717097607.4454622,106605.26666666668,91750.40000000001,-72526.20000000001
1717097607.4733546,100488.57333333333,100488.53333333334,-76895.26666666668
1717097607.50131,97867.13333333335,-110100.48000000001,-70778.57333333333
1717097607.5296128,91750.44,102236.16,-76021.45333333334
1717097607.557097,92624.25333333334,107479.04000000001,-70778.57333333333
1717097607.5850573,102236.20000000001,100488.53333333334,-67283.32
1717097607.6129932,96993.32,104857.6,-72526.20000000001
1717097607.6409378,98740.94666666667,107479.04000000001,-67283.32
1717097607.6693323,96119.50666666667,109226.66666666667,-68157.13333333333
1717097607.6973667,99614.76000000001,110974.29333333333,-73400.01333333334
1717097607.724738,108352.89333333334,104857.6,-59419.00000000001
1717097607.7526474,105731.45333333334,100488.53333333334,-66409.50666666667
1717097607.7805016,101362.38666666667,105731.41333333334,-76895.26666666668
1717097607.808507,96119.50666666667,-109226.66666666667,-67283.32
1717097607.8364446,-111848.06666666668,109226.66666666667,-62040.44
1717097607.8644807,94371.88,-111848.10666666667,-64661.880000000005
1717097607.8923764,100488.57333333333,103109.97333333334,-72526.20000000001
1717097607.9203374,104857.64000000001,-103109.97333333334,-69030.94666666667
1717097607.9482749,103983.82666666668,108352.85333333335,-62914.253333333334
1717097607.9761825,107479.08,100488.53333333334,-74273.82666666668
