Time unix,X-axis,Y-axis,Z-axis
1717097605.609072,87381.37333333334,-110974.29333333333,-66409.50666666667
1717097605.6302583,93498.06666666667,-111848.10666666667,-70778.57333333333
1717097605.658322,99614.76000000001,105731.41333333334,-48933.240000000005
1717097605.6861708,86507.56000000001,95245.65333333334,-55923.74666666667
1717097605.714091,84759.93333333333,-110974.29333333333,-71652.38666666667
1717097605.741996,84759.93333333333,-105731.41333333334,-76021.45333333334
1717097605.7698972,94371.88,109226.66666666667,-66409.50666666667
1717097605.7978365,101362.38666666667,99614.72,-68157.13333333333
1717097605.8257132,103983.82666666668,98740.90666666668,-65535.693333333336
1717097605.8536227,90002.81333333334,96119.46666666667,-69030.94666666667
1717097605.881528,102236.20000000001,105731.41333333334,-78642.89333333334
1717097605.909409,102236.20000000001,110100.48000000001,-67283.32
1717097605.9373376,96993.32,108352.85333333335,-72526.20000000001
1717097605.9653387,102236.20000000001,-110100.48000000001,-72526.20000000001
1717097605.9931977,91750.44,99614.72,-72526.20000000001
1717097606.0211704,99614.76000000001,100488.53333333334,-63788.06666666667
1717097606.0491366,93498.06666666667,110974.29333333333,-71652.38666666667
1717097606.0770693,103983.82666666668,105731.41333333334,-69904.76000000001
1717097606.1050007,101362.38666666667,110100.48000000001,-77769.08
1717097606.1329517,-108352.81333333334,98740.90666666668,-72526.20000000001
1717097606.1609566,96993.32,-111848.10666666667,-83011.96
1717097606.188766,106605.26666666668,-106605.22666666667,-74273.82666666668
1717097606.2167182,96993.32,102236.16,-69030.94666666667
1717097606.2445173,103983.82666666668,106605.22666666667,-66409.50666666667
1717097606.2725537,98740.94666666667,104857.6,-71652.38666666667
1717097606.3005724,96119.50666666667,98740.90666666668,-66409.50666666667
